raw,mpu
7,-10.67
1,-10.69
1,-10.69
0,-11.11
-6,-10.78
-3,-10.69
6,-11.03
6,-10.8
-2,-10.81
-5,-11.04
-1,-10.73
1,-10.79
2,-10.81
2,-10.92
0,-10.59
-1,-10.42
-1,-11.05
-2,-11.06
-1,-10.75
4,-10.6
7,-10.96
0,-10.66
-10,-10.96
-4,-10.92
6,-10.77
4,-10.94
0,-10.84
1,-10.67
0,-10.94
-6,-10.66
-3,-10.82
3,-10.94
3,-11.04
2,-10.84
1,-11.05
-1,-11.05
-4,-10.75
-1,-10.78
1,-10.57
0,-10.62
0,-10.59
2,-10.89
2,-10.5
-1,-10.74
-2,-10.97
-2,-10.86
-1,-10.89
1,-11.28
5,-11
2,-11.11
-3,-11.08
-3,-11.08
0,-11.09
0,-10.85
2,-11
5,-10.82
0,-10.87
-7,-11.19
-5,-11.06
3,-11.17
8,-10.97
3,-11.05
-4,-10.99
-5,-11.11
-2,-11.19
0,-11.17
3,-11.21
5,-10.99
0,-10.96
-8,-11.03
-4,-10.84
6,-11.17
6,-10.93
-2,-11.04
-5,-10.8
-3,-10.84
0,-11.02
6,-10.64
5,-11.11
-4,-11.12
-8,-10.83
0,-10.96
6,-10.98
4,-11.25
1,-11.15
-2,-10.91
-6,-10.98
-3,-11.16
1,-11.11
4,-11.1
6,-11.21
4,-10.9
-4,-11.35
-11,-11.07
-6,-11.04
4,-11.02
8,-11.37
8,-11.06
1,-11.11
-8,-11.1
-10,-10.95
-1,-10.98
6,-11.08
6,-11.31
3,-11.24
-2,-11.2
-5,-11.12
-2,-11.07
1,-11.47
0,-11.44
1,-11.38
2,-11.15
-1,-11.29
-3,-11.12
1,-11.46
2,-11.55
-1,-11.01
0,-11.35
2,-11.37
-2,-11.35
-4,-11.55
1,-11.18
6,-11.39
2,-11.58
-5,-11.47
-4,-11.27
2,-11.65
2,-10.96
-2,-11.28
0,-11.46
3,-11.49
-1,-11.21
-4,-11.03
1,-11.19
6,-11.39
0,-11.2
-6,-11.08
-1,-11.52
5,-11.32
2,-11.55
-4,-11.61
-3,-11.82
1,-11.6
2,-11.26
1,-11.41
0,-11.25
-3,-11.38
-4,-11.35
2,-11.08
5,-11.65
0,-11.41
0,-11.49
0,-11.44
-5,-11.18
-3,-11.18
7,-11.54
8,-11.37
-2,-11.31
-7,-11.26
-2,-11.83
2,-11.25
3,-11.62
1,-11.51
-2,-11.73
-3,-11.34
0,-11.31
6,-11.53
3,-11.11
-7,-11.46
-9,-11.59
1,-11.78
9,-11.62
5,-11.58
-2,-11.48
-3,-11.59
-2,-11.42
-2,-11.68
0,-11.38
6,-11.81
4,-11.38
-3,-11.67
-5,-11.65
0,-11.78
3,-11.36
0,-11.59
-1,-11.47
0,-11.56
3,-11.62
2,-11.03
-2,-11.37
-5,-11.58
-1,-11.16
1,-11.44
3,-11.27
4,-11.48
0,-11.44
-6,-11.3
-5,-11.41
2,-11.16
4,-11.31
1,-11.13
2,-11.06
-1,-11.11
-7,-11.28
-2,-11.07
7,-11.26
4,-11.11
-2,-11.59
-1,-10.95
0,-11.16
-3,-11.18
-2,-11.57
4,-11.52
4,-11.31
-1,-11.21
-3,-11.32
-1,-11.64
0,-11.44
1,-11.34
2,-11.37
0,-11.61
-1,-11.24
-2,-11.46
-1,-11.5
2,-11.43
4,-11.59
0,-11.55
-3,-11.26
1,-11.79
3,-11.77
-4,-11.47
-6,-11.53
4,-11.52
7,-11.52
-1,-11.88
-5,-11.87
0,-11.25
1,-11.52
0,-11.54
0,-11.88
-2,-11.83
-2,-11.92
1,-11.73
6,-11.79
2,-11.75
-6,-11.86
-6,-11.55
0,-11.72
4,-11.44
3,-11.43
3,-11.59
0,-11.37
-6,-11.63
-8,-11.53
1,-11.56
8,-11.62
3,-11.64
0,-11.66
-2,-11.68
-4,-11.57
-1,-11.43
2,-11.87
2,-11.56
0,-11.63
0,-11.68
0,-11.51
0,-11.62
1,-11.25
-1,-11.6
-7,-11.81
-2,-11.64
12,-11.82
13,-11.72
-8,-11.78
-16,-11.83
-2,-11.63
6,-11.69
6,-11.88
8,-11.89
1,-11.77
-12,-11.78
-10,-11.74
6,-11.86
9,-11.72
0,-11.97
-4,-12.08
-1,-12.04
3,-11.99
1,-11.81
-3,-11.9
-3,-11.99
3,-11.53
4,-12.03
-1,-11.9
-2,-11.95
2,-11.69
0,-12.18
-2,-12.09
0,-12.14
0,-11.88
-2,-12.18
1,-12.18
4,-12.15
2,-12.29
-2,-12.32
-5,-12.26
-3,-12.2
1,-11.97
4,-12.13
6,-12.16
3,-12.04
-6,-12.35
-11,-11.98
-2,-12.08
7,-11.99
8,-11.95
3,-12.12
-3,-12.21
-8,-12.19
-6,-11.81
3,-11.84
8,-11.99
3,-11.98
-3,-12.29
-3,-12.21
0,-12.27
-1,-12.22
0,-12.31
5,-12.23
1,-12.14
-5,-12.06
0,-11.98
5,-11.95
0,-12.22
-5,-12.03
-1,-11.96
4,-12.11
3,-12.38
-2,-11.96
-4,-12.02
0,-12.43
3,-12.37
0,-11.98
-2,-12.48
0,-12.66
0,-12.12
-2,-12.55
1,-12.2
3,-12.41
-2,-12.05
-3,-12.13
2,-11.86
3,-12.5
0,-12.29
0,-12.07
0,-12.09
-3,-12.24
-4,-12.42
2,-11.96
6,-11.92
1,-12.05
-4,-12.01
-2,-11.89
0,-11.93
-1,-12.1
0,-12.01
5,-12.55
4,-12.27
-3,-12.2
-7,-12
0,-12.11
7,-12.22
3,-12.1
-5,-12.1
-3,-12.24
3,-12.03
0,-12.17
-5,-12.06
-1,-12.14
5,-12.05
5,-11.98
0,-11.86
-4,-12.27
-5,-12.03
-3,-12.06
2,-12.28
7,-11.83
3,-12
-2,-12.03
-4,-12.13
-3,-11.76
0,-11.85
3,-12.16
3,-12.26
0,-11.75
-1,-12.2
0,-12.02
-1,-12.03
-1,-12.04
1,-11.94
3,-12.07
0,-12.13
-3,-12.03
0,-11.95
3,-11.8
1,-12.16
-2,-12.1
-2,-11.9
0,-11.84
2,-11.91
1,-12.2
0,-11.92
1,-11.96
0,-12.11
-4,-12.42
-5,-12.34
0,-12.1
8,-12.46
8,-12.11
-2,-12.16
-11,-12.3
-7,-12.25
4,-12.41
11,-12.01
5,-12.31
-6,-12.11
-9,-12.1
0,-12.26
2,-11.91
3,-12.21
5,-12.48
1,-12.11
-6,-12.31
-6,-12.06
1,-11.98
4,-12.33
1,-12.18
0,-12.41
0,-12.32
-3,-12.42
-4,-12.36
3,-12.39
6,-12.45
-1,-12.29
-4,-12.25
0,-12.27
0,-12.17
-2,-12.23
3,-12.38
5,-12.08
-4,-12.35
-8,-12.44
0,-12.44
6,-12.44
4,-12.32
0,-12.56
-2,-12.63
-6,-12.4
-7,-12.31
0,-12.58
11,-12.61
10,-12.66
-4,-12.81
-11,-12.91
-2,-12.73
3,-12.77
1,-12.97
2,-12.9
4,-12.69
0,-12.67
-5,-12.92
-3,-12.71
1,-12.79
2,-12.89
0,-12.74
0,-13.05
0,-12.81
0,-12.69
-1,-12.59
-2,-13.03
0,-12.84
4,-12.56
1,-12.75
-2,-12.69
0,-12.38
0,-12.62
-2,-12.64
0,-12.47
4,-12.61
1,-12.55
-3,-12.48
0,-12.84
2,-12.6
-1,-12.67
-3,-12.48
1,-12.63
6,-12.81
1,-12.5
-4,-12.71
